iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
IRN,Asia,Iran,2/19/2020,2,2,0,2,2,0,0.024,0.024,0,0.024,0.024,0,0
IRN,Asia,Iran,2/20/2020,5,3,0,2,0,0,0.059,0.035,0,0.024,0,0,0
IRN,Asia,Iran,2/21/2020,18,13,0,4,2,0,0.212,0.153,0,0.047,0.024,0,0
IRN,Asia,Iran,2/22/2020,28,10,0,5,1,0,0.329,0.118,0,0.059,0.012,0,0
IRN,Asia,Iran,2/23/2020,43,15,0,8,3,0,0.506,0.176,0,0.094,0.035,0,0
IRN,Asia,Iran,2/24/2020,61,18,8.714,12,4,1.714,0.717,0.212,0.102,0.141,0.047,0.02,0
IRN,Asia,Iran,2/25/2020,95,34,13.571,16,4,2.286,1.117,0.4,0.16,0.188,0.047,0.027,0
IRN,Asia,Iran,2/26/2020,139,44,19.571,19,3,2.429,1.635,0.517,0.23,0.223,0.035,0.029,0
IRN,Asia,Iran,2/27/2020,245,106,34.286,26,7,3.429,2.881,1.247,0.403,0.306,0.082,0.04,4.94
IRN,Asia,Iran,2/28/2020,388,143,52.857,34,8,4.286,4.563,1.682,0.622,0.4,0.094,0.05,4.6
IRN,Asia,Iran,2/29/2020,593,205,80.714,43,9,5.429,6.974,2.411,0.949,0.506,0.106,0.064,4.62
IRN,Asia,Iran,3/1/2020,978,385,133.571,54,11,6.571,11.502,4.528,1.571,0.635,0.129,0.077,4.82
IRN,Asia,Iran,3/2/2020,1501,523,205.714,66,12,7.714,17.653,6.151,2.419,0.776,0.141,0.091,4.52
IRN,Asia,Iran,3/3/2020,2336,835,320.143,77,11,8.714,27.473,9.82,3.765,0.906,0.129,0.102,3.97
IRN,Asia,Iran,3/4/2020,2922,586,397.571,92,15,10.429,34.365,6.892,4.676,1.082,0.176,0.123,3.04
IRN,Asia,Iran,3/5/2020,3513,591,466.857,107,15,11.571,41.315,6.951,5.491,1.258,0.176,0.136,2.56
IRN,Asia,Iran,3/6/2020,4747,1234,622.714,124,17,12.857,55.828,14.513,7.324,1.458,0.2,0.151,2.65
IRN,Asia,Iran,3/7/2020,5823,1076,747.143,145,21,14.571,68.483,12.655,8.787,1.705,0.247,0.171,2.21
IRN,Asia,Iran,3/8/2020,6566,743,798.286,194,49,20,77.221,8.738,9.388,2.282,0.576,0.235,1.62
IRN,Asia,Iran,3/9/2020,7161,595,808.571,237,43,24.429,84.219,6.998,9.509,2.787,0.506,0.287,1.38
IRN,Asia,Iran,3/10/2020,8042,881,815.143,291,54,30.571,94.58,10.361,9.587,3.422,0.635,0.36,1.39
IRN,Asia,Iran,3/11/2020,9000,958,868.286,354,63,37.429,105.847,11.267,10.212,4.163,0.741,0.44,1.59
IRN,Asia,Iran,3/12/2020,10075,1075,937.429,429,75,46,118.489,12.643,11.025,5.045,0.882,0.541,1.62
IRN,Asia,Iran,3/13/2020,11364,1289,945.286,514,85,55.714,133.649,15.16,11.117,6.045,1,0.655,1.57
IRN,Asia,Iran,3/14/2020,12729,1365,986.571,611,97,66.571,149.702,16.053,11.603,7.186,1.141,0.783,1.56
IRN,Asia,Iran,3/15/2020,13938,1209,1053.143,724,113,75.714,163.921,14.219,12.386,8.515,1.329,0.89,1.4
IRN,Asia,Iran,3/16/2020,14991,1053,1118.571,853,129,88,176.305,12.384,13.155,10.032,1.517,1.035,1.26
IRN,Asia,Iran,3/17/2020,16169,1178,1161,988,135,99.571,190.159,13.854,13.654,11.62,1.588,1.171,1.18
IRN,Asia,Iran,3/18/2020,17361,1192,1194.429,1135,147,111.571,204.178,14.019,14.047,13.348,1.729,1.312,1.21
IRN,Asia,Iran,3/19/2020,18407,1046,1190.286,1284,149,122.143,216.48,12.302,13.999,15.101,1.752,1.436,1.14
IRN,Asia,Iran,3/20/2020,19644,1237,1182.857,1433,149,131.286,231.028,14.548,13.911,16.853,1.752,1.544,1.07
IRN,Asia,Iran,3/21/2020,20610,966,1125.857,1556,123,135,242.389,11.361,13.241,18.3,1.447,1.588,1.05
IRN,Asia,Iran,3/22/2020,21638,1028,1100,1685,129,137.286,254.479,12.09,12.937,19.817,1.517,1.615,1.15
IRN,Asia,Iran,3/23/2020,23049,1411,1151.143,1812,127,137,271.073,16.594,13.538,21.31,1.494,1.611,1.37
IRN,Asia,Iran,3/24/2020,24811,1762,1234.571,1934,122,135.143,291.795,20.722,14.519,22.745,1.435,1.589,1.55
IRN,Asia,Iran,3/25/2020,27017,2206,1379.429,2077,143,134.571,317.74,25.944,16.223,24.427,1.682,1.583,1.75
IRN,Asia,Iran,3/26/2020,29406,2389,1571.286,2234,157,135.714,345.836,28.096,18.479,26.273,1.846,1.596,1.81
