Date,Total_Patients,Total_Death,Total_Healed
1398/12/06,95,15,24
1398/12/07,139,19,54
1398/12/08,245,26,54
1398/12/09,388,34,73
1398/12/10,593,43,123
1398/12/11,978,54,175
1398/12/12,1501,66,291
1398/12/13,2336,77,435
1398/12/14,2922,92,552
1398/12/15,3513,107,739
1398/12/16,4747,124,913
1398/12/17,5823,145,1669
1398/12/18,6566,194,2134
1398/12/19,7161,237,2394
1398/12/20,8042,291,2731
1398/12/21,9000,354,2959
1398/12/22,10075,429,3276
1398/12/23,11364,514,3529
1398/12/24,12729,611,4339
1398/12/25,13938,724,4590
1398/12/26,14991,853,4996
1398/12/27,16169,988,5389
1398/12/28,17361,1135,5710
1398/12/29,18407,1284,5979
1399/01/01,19644,1433,6745
1399/01/02,20610,1556,7635
1399/01/03,21638,1685,7913
1399/01/04,23049,1812,8376
1399/01/05,24811,1934,8913
1399/01/06,27017,2077,9625
1399/01/07,29406,2234,10457
1399/01/08,32332,2378,11133
1399/01/11,41495,2757,13911
1399/01/12,44606,2898,14656
1399/01/13,47593,3036,15473
1399/01/14,50468,3160,16711
1399/01/15,53183,3294,17935
1399/01/16,55743,3452,19736
1399/01/17,58226,3603,22011
1399/01/18,60500,3739,24236
1399/01/19,62589,3872,27039
1399/01/20,64586,3993,29812
1399/01/21,66220,4110,32309
1399/01/22,68192,4232,35465
1399/01/23,70029,4357,41947
1399/01/24,71686,4474,43894
1399/01/25,73303,4585,45983
1399/01/26,74877,4683,48129
1399/01/27,76389,4777,49933
1399/01/28,77995,4869,52229
1399/01/29,79494,4958,54064
1399/01/30,80868,5031,55987
1399/01/31,82211,5118,57023
1399/02/01,83505,5209,59273
1399/02/02,84802,5297,60965
1399/02/03,85996,5391,63113
1399/02/04,87026,5481,64803
1399/02/05,88194,5574,66596
1399/02/06,89328,5650,68193
1399/02/07,90481,5710,69657
1399/02/08,91472,5806,70933
1399/02/09,92584,5877,72439
1399/02/10,93657,5957,73791
1399/02/11,94640,6028,75103
1399/02/12,95646,6091,76318
1399/02/13,96448,6156,77350
1399/02/14,97424,6203,78422
1399/02/15,98647,6277,79397
1399/02/16,99970,6340,80475
1399/02/17,101650,6418,81587
1399/02/18,103135,6486,82744
1399/02/19,104691,6541,83837
1399/02/20,106220,6589,85064
1399/02/21,107603,6640,86143
1399/02/22,109286,6685,87422
1399/02/23,110767,6733,88357
1399/02/24,112725,6783,89428
1399/02/25,114533,6854,90539
1399/02/26,116635,6902,91836
1399/02/27,118392,6937,93147
1399/02/28,120197,6988,94464
1399/02/29,122429,7057,95661
1399/02/30,124603,7119,97173
1399/02/31,126947,7183,98808
1399/03/01,129341,7249,100564
1399/03/02,131652,7300,102276
1399/03/03,133521,7359,104072
1399/03/04,135701,7417,105801
1399/03/05,137724,7451,107713
1399/03/06,139511,7508,109437
1399/03/07,141591,7564,111176
1399/03/08,143849,7627,112988
1399/03/09,146668,7677,114931
1399/03/10,148950,7734,116127
1399/03/11,151466,7797,118848
1399/03/12,154445,7878,121004
1399/03/13,157562,7942,123077
1399/03/14,160696,8012,125206
1399/03/15,164270,8071,127485
1399/03/16,167156,8134,129741
1399/03/17,169425,8209,132038
1399/03/18,171789,8291,134349
1399/03/19,173832,8351,136360
1399/03/20,175927,8425,138457
1399/03/21,177938,8506,140950
1399/03/22,180156,8584,142663
1399/03/23,182545,8659,144649
1399/03/24,184955,8730,146748
1399/03/25,187427,8837,148674
1399/03/26,189876,8950,150590
1399/03/27,192439,9065,152675
1399/03/28,195051,9185,154812
1399/03/29,197647,9272,156991
1399/03/30,200262,9392,159192
1399/03/31,202584,9507,161384
1399/04/01,204952,9623,163591
1399/04/02,207525,9742,166427
1399/04/03,209970,9863,169160
1399/04/04,212501,9996,172096
1399/04/05,215096,10130,175103
1399/04/06,217724,10239,177852
1399/04/07,220180,10364,180661
1399/04/08,222669,10508,183310
1399/04/09,225205,10670,186180
1399/04/10,227662,10817,188758
1399/04/11,230211,10958,191487
1399/04/12,232863,11106,194198
1399/04/13,235429,11260,196446
1399/04/14,237878,11408,198949
1399/04/15,240438,11571,201330
1399/04/16,243051,11731,204083
1399/04/17,245688,11931,207000
1399/04/18,248379,12084,209463
1399/04/19,250458,12305,212176
1399/04/20,252720,12447,215015
1399/04/21,255117,12635,217666
1399/04/22,257303,12829,219993
1399/04/23,259652,12032,222539
1399/04/24,262173,13211,225270
1399/04/25,264561,13410,227561
1399/04/26,267061,13608,230608
1399/04/27,269440,13791,232873
1399/04/28,271606,13979,235300
1399/04/29,273656,14188,237788
1399/04/30,276202,14405,240087
1399/04/31,278827,14634,242351
1399/05/01,281413,14853,244840
1399/05/02,284034,15074,247230
1399/05/03,286253,15289,249212
1399/05/04,288869,15484,251319
1399/05/05,291179,15700,253213
1399/05/06,293606,15912,255144
1399/05/07,296273,15147,257019
1399/05/08,298909,16343,259116
1399/05/09,301530,16569,261200
1399/05/10,304204,16766,263519
1399/05/11,306752,16982,265830
1399/05/12,309437,17190,268102
1399/05/13,312035,17405,270228
1399/05/14,314786,17617,272535
1399/05/15,317483,17802,274932
1399/05/16,320117,17976,277463
1399/05/17,322567,18132,279724
1399/05/18,324692,18264,282122
1399/05/19,326712,18427,284371
1399/05/20,328844,18616,286642
1399/05/21,331189,18800,288620
1399/05/22,333699,18988,290244
1399/05/23,336324,19162,292058
1399/05/24,338825,19331,293811
1399/05/25,341070,19492,295630
1399/05/26,343203,19639,297486
1399/05/27,345450,19804,299157
1399/05/28,347835,19972,300881
1399/05/29,350279,20125,302528
1399/05/30,352558,20264,304236
1399/05/31,354764,20376,305866
1399/06/01,356792,20502,307702
1399/06/02,358905,20643,309464
1399/06/03,361150,20776,311365
1399/06/04,363363,20901,313058
1399/06/05,365606,21020,314870
1399/06/06,367796,21137,316638
1399/06/07,369911,21249,318270
1399/06/09,373570,21462,321421
1399/06/10,375212,21571,323233
1399/06/11,376894,21672,325124
1399/06/12,378752,21797,326801
1399/06/13,380756,21926,328595
1399/06/14,382772,22014,330308
1399/06/15,384666,22154,332131
1399/06/16,386658,22293,333900
1399/06/17,388810,22410,335572
1399/06/18,391112,22542,337414
1399/06/19,393425,22669,339111
1399/06/20,395488,22798,340842
1399/06/21,397801,22913,342539
1399/06/22,399940,23029,344516
1399/06/23,402029,23157,346242
1399/06/24,404648,23313,348013
1399/06/25,407353,23453,349984
1399/06/26,410334,23632,352019
1399/06/27,413149,23808,353848
1399/06/28,416198,23952,355505
1399/06/29,419043,24118,357632
1399/06/30,422140,24301,359570
1399/06/31,425481,24478,361523
